Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0089;02/05/2018  12:22:39;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;666 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0089.JPG;placeID: 111
IMG_0090;02/05/2018  12:22:40;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;683 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0090.JPG;placeID: 111
IMG_0091;02/05/2018  12:22:50;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;661 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0091.JPG;placeID: 111
IMG_0093;02/05/2018  12:22:51;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;693 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0093.JPG;placeID: 111
IMG_0092;02/05/2018  12:22:51;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;672 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0092.JPG;placeID: 111
IMG_0094;02/05/2018  12:22:52;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;678 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0094.JPG;placeID: 111
IMG_0095;02/05/2018  12:22:53;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;690 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0095.JPG;placeID: 111
IMG_0096;02/05/2018  12:22:54;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;691 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0096.JPG;placeID: 111
IMG_0097;02/05/2018  12:22:55;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;698 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0097.JPG;placeID: 111
IMG_0098;02/05/2018  12:22:56;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;700 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0098.JPG;placeID: 111
IMG_0099;02/05/2018  12:22:57;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;700 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0099.JPG;placeID: 111
IMG_0100;02/05/2018  12:22:58;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;702 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0100.JPG;placeID: 111
IMG_0101;02/05/2018  12:23:08;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;658 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0101.JPG;placeID: 111
IMG_0103;02/05/2018  12:23:10;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;708 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0103.JPG;placeID: 111
IMG_0102;02/05/2018  12:23:10;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;670 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0102.JPG;placeID: 111
IMG_0105;02/05/2018  12:23:12;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;718 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0105.JPG;placeID: 111
IMG_0104;02/05/2018  12:23:12;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;717 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0104.JPG;placeID: 111
IMG_0106;02/05/2018  12:23:13;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;719 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0106.JPG;placeID: 111
IMG_0107;02/05/2018  12:23:14;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;718 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0107.JPG;placeID: 111
IMG_0108;02/05/2018  12:23:15;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;719 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0108.JPG;placeID: 111
IMG_0109;02/05/2018  12:23:16;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;719 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0109.JPG;placeID: 111
IMG_0110;02/05/2018  12:23:18;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;718 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0110.JPG;placeID: 111
IMG_0111;02/05/2018  12:23:21;1/30;-;-;-;-;-;Not fired, auto mode;-;-;250;-;2048 x 1536;658 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0111.JPG;placeID: 111
